MO_Name;Weekday;Hour;Number
Филёвский Парк;пн;0.0;0.5176906394480509
Щукино;пн;0.0;0.39068242705569095
Нагатинский Затон;пн;0.0;0.2890109604890487
Дмитровский;пн;0.0;0.27608037720799783
Тёплый Стан;пн;0.0;0.5746057692154244
Ховрино;пн;0.0;1.1118285324558417
Ломоносовский;пн;0.0;0.8839051741590879
Можайский;пн;0.0;0.5513706090992286
Строгино;пн;0.0;0.21178092168569915
Крылатское;пн;0.0;0.5556214862166551
Головинский;пн;0.0;0.47348038075120724
Южное Тушино;пн;0.0;0.3262673851614792
Северное Тушино;пн;0.0;0.5283662840787444
Черёмушки;пн;0.0;0.8658099026844654
Покровское-Стрешнево;пн;0.0;0.24433838307966155
Хорошёво-Мнёвники;пн;0.0;0.36002299083746936
Очаково-Матвеевское;пн;0.0;0.37543924405171325
Тропарёво-Никулино;пн;0.0;0.5622030444364196
Левобережный;пн;0.0;0.6094878598187139
Фили-Давыдково;пн;0.0;0.8545350436648074
Обручевский;пн;0.0;0.6641513437144551
Раменки;пн;0.0;0.8535713878346923
Войковский;пн;0.0;1.1149053488641916
Сокол;пн;0.0;1.5001704575998602
Западное Дегунино;пн;0.0;0.3269356590653251
Проспект Вернадского;пн;0.0;0.47407489195946034
Ясенево;пн;0.0;0.17291074079289606
Дорогомилово;пн;0.0;0.7197946874881419
Коньково;пн;0.0;0.9603279993184434
Хорошёвский;пн;0.0;0.9867992604665962
Беговой;пн;0.0;1.2777606753829949
Коптево;пн;0.0;0.869357509691657
Аэропорт;пн;0.0;1.2208444896023414
Пресненский;пн;0.0;1.5919592113459904
Бескудниковский;пн;0.0;1.0030817295559424
Гагаринский;пн;0.0;1.2084683744575182
Тимирязевский;пн;0.0;0.5925315680553133
Лианозово;пн;0.0;0.802211058284985
Хамовники;пн;0.0;1.2130184201510685
Восточное Дегунино;пн;0.0;0.45636045401946473
Савёловский;пн;0.0;1.4825939370624535
Академический;пн;0.0;0.907424014987879
Зюзино;пн;0.0;0.8942380163170107
Алтуфьевский;пн;0.0;0.48548906240965356
Марфино;пн;0.0;1.2692495034792932
Чертаново Центральное;пн;0.0;0.46889344010014217
Отрадное;пн;0.0;0.9023938816924544
Арбат;пн;0.0;1.8403031469959332
Чертаново Южное;пн;0.0;0.5578742360828117
Бутырский;пн;0.0;1.4510171404490646
Тверской;пн;0.0;1.3660792098675978
Чертаново Северное;пн;0.0;0.7491127394462981
Якиманка;пн;0.0;1.207301839502823
Котловка;пн;0.0;0.4250727403294283
Останкинский;пн;0.0;0.3628859140065239
Донской;пн;0.0;1.129570724118958
Бибирево;пн;0.0;0.7894794929267377
Бирюлёво Западное;пн;0.0;0.35926602731208196
Марьина Роща;пн;0.0;1.5029866635891493
Нагорный;пн;0.0;0.6584424046884257
Свиблово;пн;0.0;1.2827752424689152
Даниловский;пн;0.0;1.250518815416323
Мещанский;пн;0.0;1.9340003990642678
Южное Медведково;пн;0.0;0.7781122814189467
Замоскворечье;пн;0.0;2.4605885139421004
Северное Медведково;пн;0.0;1.1865967802674284
Нагатино-Садовники;пн;0.0;0.7272501792698768
Москворечье-Сабурово;пн;0.0;0.5251628157585759
Царицыно;пн;0.0;0.778044414319404
Басманный;пн;0.0;2.1559322201389084
Красносельский;пн;0.0;1.3387809918290747
Ростокино;пн;0.0;0.8398942815581074
Таганский;пн;0.0;1.6447593722269953
