MO_Name;Weekday;Hour;Provider;Number
Филёвский Парк;пн;0.0;1;0.2033784654974486
Щукино;пн;0.0;1;0.17859768093974443
Нагатинский Затон;пн;0.0;1;0.20510455260513133
Дмитровский;пн;0.0;1;0.1882366208236349
Тёплый Стан;пн;0.0;1;0.24473949429545852
Ховрино;пн;0.0;1;0.6401437005048786
Ломоносовский;пн;0.0;1;0.3749900738856736
Можайский;пн;0.0;1;0.2799266169273007
Строгино;пн;0.0;1;0.1482466451799894
Крылатское;пн;0.0;1;0.31436478825416014
Головинский;пн;0.0;1;0.2619253170113061
Южное Тушино;пн;0.0;1;0.13500719385992244
Северное Тушино;пн;0.0;1;0.32662643015776927
Черёмушки;пн;0.0;1;0.32672071799413793
Покровское-Стрешнево;пн;0.0;1;0.1425307234631359
Хорошёво-Мнёвники;пн;0.0;1;0.19234104989946993
Очаково-Матвеевское;пн;0.0;1;0.22830764840982562
Тропарёво-Никулино;пн;0.0;1;0.28506069858748034
Левобережный;пн;0.0;1;0.3324479235374803
Фили-Давыдково;пн;0.0;1;0.38262763149170476
Обручевский;пн;0.0;1;0.4427675624763034
Раменки;пн;0.0;1;0.4220436306515979
Войковский;пн;0.0;1;0.4160094585314148
Сокол;пн;0.0;1;0.6865186839863767
Западное Дегунино;пн;0.0;1;0.24520174429899383
Проспект Вернадского;пн;0.0;1;0.2844449351756762
Ясенево;пн;0.0;1;0.07925075619674403
Дорогомилово;пн;0.0;1;0.26278218749567084
Коньково;пн;0.0;1;0.46873152347685926
Хорошёвский;пн;0.0;1;0.3947197041866385
Беговой;пн;0.0;1;0.35248570355392966
Коптево;пн;0.0;1;0.5734060170306674
Аэропорт;пн;0.0;1;0.36243820785069514
Пресненский;пн;0.0;1;0.33676060240011335
Бескудниковский;пн;0.0;1;0.4337650722404075
Гагаринский;пн;0.0;1;0.2739194982103708
Тимирязевский;пн;0.0;1;0.23701262722212532
Лианозово;пн;0.0;1;0.5033481150023436
Хамовники;пн;0.0;1;0.33645766398350807
Восточное Дегунино;пн;0.0;1;0.34227034051459854
Савёловский;пн;0.0;1;0.33695316751419396
Академический;пн;0.0;1;0.23467862456583075
Зюзино;пн;0.0;1;0.4967988979538948
Алтуфьевский;пн;0.0;1;0.37760260409639723
Марфино;пн;0.0;1;0.803858018870219
Чертаново Центральное;пн;0.0;1;0.23444672005007108
Отрадное;пн;0.0;1;0.4954319350468377
Арбат;пн;0.0;1;0.513572971254679
Чертаново Южное;пн;0.0;1;0.2544689497921597
Бутырский;пн;0.0;1;0.49546926747041226
Тверской;пн;0.0;1;0.34151980246689945
Чертаново Северное;пн;0.0;1;0.489804483484118
Якиманка;пн;0.0;1;0.26003424235445416
Котловка;пн;0.0;1;0.29083924338329303
Останкинский;пн;0.0;1;0.14230820157118587
Донской;пн;0.0;1;0.3608350924268894
Бибирево;пн;0.0;1;0.49861862711162386
Бирюлёво Западное;пн;0.0;1;0.23246625296664128
Марьина Роща;пн;0.0;1;0.49465383864959345
Нагорный;пн;0.0;1;0.3883121873803536
Свиблово;пн;0.0;1;0.6413876212344576
Даниловский;пн;0.0;1;0.3287078029094334
Мещанский;пн;0.0;1;0.5328368446401555
Южное Медведково;пн;0.0;1;0.45771310671702753
Замоскворечье;пн;0.0;1;0.5421635708685985
Северное Медведково;пн;0.0;1;0.6401377367232179
Нагатино-Садовники;пн;0.0;1;0.380940570093745
Москворечье-Сабурово;пн;0.0;1;0.2848340695639734
Царицыно;пн;0.0;1;0.4322468968441133
Басманный;пн;0.0;1;0.7328045477319443
Красносельский;пн;0.0;1;0.35700826448775325
Ростокино;пн;0.0;1;0.3563187861155607
Таганский;пн;0.0;1;0.607125942768354
Алексеевский;пн;0.0;1;0.5273943341388361
Сокольники;пн;0.0;1;0.39724886404957205
Бирюлёво Восточное;пн;0.0;1;0.20556185865732504
Бабушкинский;пн;0.0;1;0.5229038706199323
Южнопортовый;пн;0.0;1;0.42898352077717333
Ярославский;пн;0.0;1;0.24515444177329537
Печатники;пн;0.0;1;0.1987692636944711
Богородское;пн;0.0;1;0.6174713106817565
Метрогородок;пн;0.0;1;0.06166466563863284
Лефортово;пн;0.0;1;0.44679945653934344
Орехово-Борисово Северное;пн;0.0;1;0.32392761712151896
Лосиноостровский;пн;0.0;1;0.4144058609834319
Нижегородский;пн;0.0;1;0.4387700612001073
Перово;пн;0.0;1;0.314428458131694
Орехово-Борисово Южное;пн;0.0;1;0.3025041743586089
Марьино;пн;0.0;1;0.3808851980980345
Вешняки;пн;0.0;1;0.3487049301722676
Преображенское;пн;0.0;1;0.6388478175611552
Соколиная Гора;пн;0.0;1;0.3274953832816358
Люблино;пн;0.0;1;0.16082135309466442
Текстильщики;пн;0.0;1;0.2982535314741612
Братеево;пн;0.0;1;0.36720325350035227
